Source,Target
ActiproSoftware.CodeHighlighter.Net20.dll,ActiproSoftware.Shared.Net20.dll
Beisen.ActivityEngine.ServiceImp.dll,Beisen.ActivityEngine.ServiceInterface.dll
Beisen.ActivityEngine.ServiceImp.dll,Beisen.Configuration.dll
Beisen.ActivityEngine.ServiceImp.dll,Beisen.Logging.dll
Beisen.ActivityEngine.ServiceImp.dll,Beisen.Queue.dll
Beisen.ActivityEngine.ServiceImp.dll,Newtonsoft.Json.dll
Beisen.ActivityEngine.ServiceImp.dll,Beisen.Common.dll
Beisen.ActivityEngine.ServiceImp.dll,Beisen.ESB.ClientProxyFactory.dll
Beisen.ActivityEngine.ServiceInterface.dll,Beisen.Common.dll
Beisen.Assessment.Design.Model.dll,Beisen.BSP.Helpers.dll
Beisen.Assessment.Design.Model.dll,Beisen.Configuration.dll
Beisen.Assessment.Design.ServiceImp.dll,Beisen.BSP.Helpers.dll
Beisen.Assessment.Design.ServiceImp.dll,Beisen.Assessment.Design.Model.dll
Beisen.Assessment.Design.ServiceImp.dll,Beisen.Assessment.Design.ServiceInterface.dll
Beisen.Assessment.Design.ServiceImp.dll,Beisen.Logging.dll
Beisen.Assessment.Design.ServiceImp.dll,Beisen.Configuration.dll
Beisen.Assessment.Design.ServiceImp.dll,Beisen.Common.dll
Beisen.Assessment.Design.ServiceInterface.dll,Beisen.Assessment.Design.Model.dll
Beisen.Assessment.Exceptions.dll,Beisen.Common.dll
Beisen.Assessment.Model.dll,MySpace.Shared.dll
Beisen.Assessment.Model.dll,Beisen.Entity.dll
Beisen.Assessment.Model.dll,Beisen.Common.dll
Beisen.Assessment.Model.dll,Beisen.Configuration.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.Assessment.OpenAPI.ServiceInterface.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.Logging.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.Assessment.ServiceInterface.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.Assessment.Model.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.Assessment.ServiceImp.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.ESB.ClientProxyFactory.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.Common.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.Data.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.Configuration.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.BeisenUser.ServiceImp.dll
Beisen.Assessment.OpenAPI.ServiceImp.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.Assessment.OpenAPI.ServiceImp.XmlSerializers.dll,Beisen.Assessment.OpenAPI.ServiceImp.dll
Beisen.Assessment.Persistence.dll,Beisen.Assessment.Model.dll
Beisen.Assessment.Persistence.dll,Beisen.Data.dll
Beisen.Assessment.Persistence.dll,Beisen.Common.dll
Beisen.Assessment.Persistence.dll,Beisen.Logging.dll
Beisen.Assessment.Persistence.dll,Beisen.Entity.dll
Beisen.Assessment.Persistence.dll,Beisen.HtmlHelper.Extension2.dll
Beisen.Assessment.ServiceImp.dll,Skyever.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Assessment.ServiceInterface.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Assessment.Model.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Logging.dll
Beisen.Assessment.ServiceImp.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Common.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Queue.dll
Beisen.Assessment.ServiceImp.dll,Beisen.PlatformServices.ServiceInterface.dll
Beisen.Assessment.ServiceImp.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Assessment.Persistence.dll
Beisen.Assessment.ServiceImp.dll,Beisen.AssessmentFramework.IO.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Assessment.Exceptions.dll
Beisen.Assessment.ServiceImp.dll,Beisen.BeisenUser.ServiceImp.dll
Beisen.Assessment.ServiceImp.dll,Beisen.ESB.ClientProxyFactory.dll
Beisen.Assessment.ServiceImp.dll,Beisen.AssessmentFramework.Engine.dll
Beisen.Assessment.ServiceImp.dll,Beisen.ReportEngine.BizVersion.dll
Beisen.Assessment.ServiceImp.dll,Beisen.HtmlHelper.Extension2.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Configuration.dll
Beisen.Assessment.ServiceImp.dll,Beisen.Entity.dll
Beisen.Assessment.ServiceInterface.dll,Beisen.Assessment.Model.dll
Beisen.Assessment.ServiceInterface.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.Assessment.ServiceInterface.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.AssessmentFramework.Engine.dll,Beisen.Assessment.Model.dll
Beisen.AssessmentFramework.Engine.dll,Beisen.Logging.dll
Beisen.AssessmentFramework.Engine.dll,Beisen.AssessmentFramework.ServiceImp.dll
Beisen.AssessmentFramework.Engine.dll,Beisen.AssessmentFramework.ServiceInterface.dll
Beisen.AssessmentFramework.Engine.dll,Beisen.Common.dll
Beisen.AssessmentFramework.IO.dll,Beisen.Logging.dll
Beisen.AssessmentFramework.IO.dll,Beisen.Assessment.Model.dll
Beisen.AssessmentFramework.IO.dll,Beisen.AssessmentFramework.Engine.dll
Beisen.AssessmentFramework.IO.dll,Beisen.AssessmentFramework.ServiceImp.dll
Beisen.AssessmentFramework.IO.dll,Beisen.Common.dll
Beisen.AssessmentFramework.IO.dll,Beisen.Queue.dll
Beisen.AssessmentFramework.ServiceImp.dll,Beisen.AssessmentFramework.ServiceInterface.dll
Beisen.AssessmentFramework.ServiceImp.dll,Beisen.Assessment.Model.dll
Beisen.AssessmentFramework.ServiceImp.dll,Beisen.Queue.dll
Beisen.AssessmentFramework.ServiceImp.dll,Beisen.Common.dll
Beisen.AssessmentFramework.ServiceImp.dll,Beisen.Assessment.Persistence.dll
Beisen.AssessmentFramework.ServiceImp.dll,Beisen.Assessment.Exceptions.dll
Beisen.AssessmentFramework.ServiceInterface.dll,Beisen.Assessment.Model.dll
Beisen.AssessmentReport.Data.dll,DundasWinChart.dll
Beisen.AssessmentReport.Data.dll,Beisen.Logging.dll
Beisen.AssessmentReport.Data.dll,Beisen.Assessment.Model.dll
Beisen.AssessmentReport.Data.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.AssessmentReport.Data.dll,Beisen.Configuration.dll
Beisen.AssessmentReport.Data.dll,Beisen.ReportEngine.Core.dll
Beisen.AssessmentReport.Data.dll,Beisen.ESB.ClientProxyFactory.dll
Beisen.AssessmentReport.Data.dll,Beisen.Assessment.ServiceInterface.dll
Beisen.AssessmentReport.Data.dll,DundasWinExtensions.dll
Beisen.AssessmentReport.Data.dll,Beisen.Data.dll
